city,state,lat,lon,population
Bhimavaram,Andhra Pradesh,16.54078,81.52322,146961
Beed,Maharashtra,18.98921,75.75634,146709
Burari,Delhi,28.7557,77.19941,146190
Krishnanagar,West Bengal,23.40576,88.49073,145926
Chitradurga,Karnataka,14.22262,76.40038,145853
Dibrugarh,Assam,27.47989,94.90837,145488
Abohar,Punjab,30.14453,74.19552,145302
Tiruvannamalai,Tamil Nadu,12.22662,79.07461,145278
Kaithal,Haryana,29.80153,76.39959,144915
Balasore,Odisha,21.49266,86.93348,144373
Godhra,Gujarat,22.77547,73.61488,143644
Shillong,Meghalaya,25.56892,91.88313,143229
Rewari,Haryana,28.199,76.6183,143021
Basirhat City,West Bengal,22.66142,88.85477,143007
Chhatarpur,Madhya Pradesh,24.9177,79.58871,142128
Mandsaur,Madhya Pradesh,24.07184,75.06986,141667
Chas,Jharkhand,23.63556,86.16712,141640
Palanpur,Gujarat,24.17128,72.43827,141592
Lakhimpur,Uttar Pradesh,27.94822,80.77935,140223
Valsad,Gujarat,20.61013,72.93428,139764
Damoh,Madhya Pradesh,23.83312,79.4419,139561
Haldwani,Uttarakhand,29.22254,79.5286,139497
Habra,West Bengal,22.84202,88.65606,139297
Kolar,Karnataka,13.13768,78.12999,138462
Srikakulam,Andhra Pradesh,18.2989,83.89751,137944
Mandya,Karnataka,12.5223,76.89746,137358
Madhurampur Dehri,Bihar,24.96899,84.1964,137231
Kanchrapara,West Bengal,22.95998,88.42849,136954
Dimapur,Nagaland,25.91174,93.7217,135860
Maler Kotla,Punjab,30.5309,75.87949,135424
Siwan,Bihar,26.22096,84.35609,135066
Kalol,Gujarat,23.24656,72.49508,134426
Bankura,West Bengal,23.23241,87.0716,133966
